,Trial,Score,Algorithm,Parameters
48,48,0.745382293303729,ada,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'ada'), ('learning_rate', 0.00010982300862210091), ('loss', 'exponential'), ('n_estimators', 654)]"
49,49,0.9118215291243491,gbr,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'gbr'), ('n_estimators', 832), ('learning_rate', 0.0044836116972927385), ('max_depth', 3), ('subsample', 0.8138941342231104), ('min_sample_split', 9), ('min_sample_leaf', 7)]"
50,50,0.9458266337548127,ridge,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'ridge'), ('alpha', 0.004772481935016255)]"
51,51,0.9495981699591987,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0010342598724227769), ('l1_ratio', 0.05088903824018064)]"
52,52,0.9505249733105627,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0015753158750906877), ('l1_ratio', 0.2398013244205824)]"
53,53,0.9426246540890681,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.00824056148701565), ('l1_ratio', 0.30270536956781763)]"
54,54,0.9499162969416757,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0003685855154742009), ('l1_ratio', 0.25721071195017775)]"
55,55,0.9499820008422049,en,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.00032540205918819246), ('l1_ratio', 0.3145147537278743)]"
56,56,0.9502817747063315,en,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0002861929856396532), ('l1_ratio', 0.46854683593831487)]"
57,57,0.9431483448027016,en,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'en'), ('alpha', 0.0015528611620145869), ('l1_ratio', 0.5495329816889547)]"
58,58,0.9403646137987517,en,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('algorithm', 'en'), ('alpha', 0.0018410504742799882), ('l1_ratio', 0.05450895639399225)]"
59,59,0.9457751449096741,ridge,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'ridge'), ('alpha', 0.00027429414805309606)]"
60,60,0.9504789317996479,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00021648475921838916)]"
61,61,0.9504463386027325,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.0001750252331418698)]"
62,62,0.9504214647535318,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00014501287344099588)]"
63,63,0.9504077370356221,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00011849493864022492)]"
64,64,0.9504550644937725,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.000191537049431855)]"
65,65,-0.029441307066881618,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 4.48239452688312)]"
66,66,0.9504555473869496,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.00018600960151238512)]"
67,67,0.9484703228321049,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.0004973765104169647)]"
68,68,-0.029441307066881618,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 151.18896040578736)]"
69,69,0.7400320378975258,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.012563827493497461)]"
70,70,0.950520595111418,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0001704186019479177)]"
71,71,0.9502726644145583,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00010058428826414573)]"
72,72,0.950617005001886,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00019949564973025357)]"
73,73,0.9489426806796498,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.00046468492347373697)]"
74,74,0.9155017224643703,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.003222916370942474)]"
75,75,0.9379655530421914,lasso,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0011423941572979554)]"
76,76,0.4374914429651362,gbr,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('algorithm', 'gbr'), ('n_estimators', 685), ('learning_rate', 0.00079066048950477), ('max_depth', 3), ('subsample', 0.6222260032032992), ('min_sample_split', 8), ('min_sample_leaf', 8)]"
77,77,0.9460839946239545,xgb,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'xgb'), ('n_estimators', 396), ('learning_rate', 0.055140411147590045), ('max_depth', 7), ('subsample', 0.8280272618689128), ('colsample_bytree', 0.85331268622696), ('min_child_weight', 17)]"
78,78,0.9475511355896954,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.0005800039486096819)]"
79,79,0.9016671887430037,rf,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'rf'), ('bootstrap', True), ('n_estimators', 153), ('max_depth', 69), ('min_sample_split', 2), ('min_sample_leaf', 4)]"
80,80,0.7481498751107789,ada,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'ada'), ('learning_rate', 0.011926326396994716), ('loss', 'linear'), ('n_estimators', 27)]"
81,81,0.9504590828950967,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', 'first'), ('algorithm', 'lasso'), ('alpha', 0.0001971837119333649)]"
82,82,0.9506059300756451,lasso,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('algorithm', 'lasso'), ('alpha', 0.000260420060035287)]"
