,Trial,Score,Parameters,alpha,encoding,scaling
59,59,0.9468156085654101,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 1.1064262383536528e-05)]",1.1064262383536528e-05,onehot,robust
60,60,0.9502330248295149,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.0005493597900853393)]",0.0005493597900853393,onehot,robust
61,61,0.9508095025858623,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003285075797876456)]",0.0003285075797876456,onehot,robust
62,62,0.9508110298569455,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003147317306007524)]",0.0003147317306007524,onehot,robust
63,63,0.9502514246756191,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00015196797296175977)]",0.00015196797296175977,onehot,robust
64,64,0.9507663831535081,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00037075764102573503)]",0.00037075764102573503,onehot,robust
65,65,0.9508113312592009,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00029836788130463556)]",0.00029836788130463556,onehot,robust
66,66,0.9505764458222764,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.00029303819083128217)]",0.00029303819083128217,onehot,robust
67,67,0.9501383045596965,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0001913608550974501)]",0.0001913608550974501,onehot,standard
68,68,0.9369529061581859,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('alpha', 0.0004403784585641443)]",0.0004403784585641443,ordinal,maxabs
69,69,0.9496631803259048,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 8.469787871917419e-05)]",8.469787871917419e-05,onehot,robust
70,70,0.9507806883482987,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003606302092314591)]",0.0003606302092314591,onehot,robust
71,71,0.9508114165372777,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002990743076922863)]",0.0002990743076922863,onehot,robust
72,72,0.9507517765011759,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00026130565555297495)]",0.00026130565555297495,onehot,robust
73,73,0.9505602456587765,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00021617622874100598)]",0.00021617622874100598,onehot,robust
74,74,0.950799963150744,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002838205028301019)]",0.0002838205028301019,onehot,robust
75,75,0.9504545527831736,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0005264794351075392)]",0.0005264794351075392,onehot,robust
76,76,0.9502470815995456,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00015114781462749382)]",0.00015114781462749382,onehot,robust
77,77,0.9500167828520556,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 0.00024019974583788765)]",0.00024019974583788765,onehot,standard
78,78,0.9500764650563003,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00011948040475744691)]",0.00011948040475744691,onehot,robust
79,79,0.9416869074248633,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 0.0001835792071869054)]",0.0001835792071869054,ordinal,robust
80,80,0.9467360074281166,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00042975037143579045)]",0.00042975037143579045,onehot,maxabs
81,81,0.9508114094023117,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003185049352321612)]",0.0003185049352321612,onehot,robust
82,82,0.9508082048282571,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003318356639199196)]",0.0003318356639199196,onehot,robust
83,83,0.9507881533355084,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00027509425702621626)]",0.00027509425702621626,onehot,robust
84,84,0.9507773169667928,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00036326517812941246)]",0.00036326517812941246,onehot,robust
85,85,0.9501612230544731,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0006382274279120593)]",0.0006382274279120593,onehot,robust
86,86,0.9505832836744539,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0004751880843704951)]",0.0004751880843704951,onehot,robust
87,87,0.9505197091109274,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00020758244289347818)]",0.00020758244289347818,onehot,robust
88,88,0.9508124811471179,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00030749465542615406)]",0.00030749465542615406,onehot,robust
89,89,0.9506356015058526,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00023312459354226766)]",0.00023312459354226766,onehot,robust
90,90,0.9476431716599324,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('drop', 'first'), ('alpha', 2.4101309356221665e-05)]",2.4101309356221665e-05,onehot,standard
91,91,0.950797558545631,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003469591997522128)]",0.0003469591997522128,onehot,robust
92,92,0.9508117833909953,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003026913959291174)]",0.0003026913959291174,onehot,robust
93,93,0.950749401107499,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002605679126690703)]",0.0002605679126690703,onehot,robust
94,94,0.9508123138142952,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003063922266728557)]",0.0003063922266728557,onehot,robust
95,95,0.9507277958188898,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0003971020815943377)]",0.0003971020815943377,onehot,robust
96,96,0.9417353760229847,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 0.00028628695794383826)]",0.00028628695794383826,ordinal,robust
97,97,0.9505583345252102,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00021578751688326747)]",0.00021578751688326747,onehot,robust
98,98,0.9505238791019778,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0005003828045530127)]",0.0005003828045530127,onehot,robust
99,99,0.9507040608347579,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00041223591551864137)]",0.00041223591551864137,onehot,robust
100,100,0.9478349312439869,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00030291829918362455)]",0.00030291829918362455,onehot,maxabs
101,101,0.9508106272346657,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.00031275400442856417)]",0.00031275400442856417,onehot,robust
102,102,0.9506896302826113,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('alpha', 0.0002457111217384227)]",0.0002457111217384227,onehot,robust
