,Trial,Score,Parameters
33,33,0.9517904049299061,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 869), ('learning_rate', 0.07521768226933453), ('max_depth', 3), ('subsample', 0.6354695923312194), ('colsample_bytree', 0.8261339882360885), ('min_child_weight', 4)]"
34,34,0.9512350120147968,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 863), ('learning_rate', 0.07324918214685501), ('max_depth', 4), ('subsample', 0.6266876427947727), ('colsample_bytree', 0.7568521615641238), ('min_child_weight', 4)]"
35,35,0.9499270626543366,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 811), ('learning_rate', 0.07520629272373494), ('max_depth', 4), ('subsample', 0.6343700047383313), ('colsample_bytree', 0.7385175053550658), ('min_child_weight', 4)]"
36,36,0.9509771098929581,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 864), ('learning_rate', 0.06925386370126098), ('max_depth', 4), ('subsample', 0.6129002991252118), ('colsample_bytree', 0.698569744709987), ('min_child_weight', 4)]"
37,37,0.9462426309595845,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 741), ('learning_rate', 0.07572098534051529), ('max_depth', 4), ('subsample', 0.554610837173337), ('colsample_bytree', 0.7691064926753556), ('min_child_weight', 4)]"
38,38,-6.543054868025599,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 808), ('learning_rate', 0.0011279509207223007), ('max_depth', 4), ('subsample', 0.5086507595190579), ('colsample_bytree', 0.7786168923605727), ('min_child_weight', 4)]"
39,39,0.950496460223617,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 724), ('learning_rate', 0.03254202800053366), ('max_depth', 4), ('subsample', 0.6911063731514901), ('colsample_bytree', 0.6933390038559677), ('min_child_weight', 5)]"
40,40,0.949516001327301,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 860), ('learning_rate', 0.09990134427195203), ('max_depth', 3), ('subsample', 0.8700624805124362), ('colsample_bytree', 0.8235466234653347), ('min_child_weight', 3)]"
41,41,0.9504612082952739,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 926), ('learning_rate', 0.05561097521280433), ('max_depth', 3), ('subsample', 0.5880692155287922), ('colsample_bytree', 0.8338479425498839), ('min_child_weight', 4)]"
42,42,0.9456521926182724,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 951), ('learning_rate', 0.024226137448380376), ('max_depth', 3), ('subsample', 0.7118638505415197), ('colsample_bytree', 0.8189764728480871), ('min_child_weight', 3)]"
43,43,0.9505865112819073,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 858), ('learning_rate', 0.07097904793347891), ('max_depth', 3), ('subsample', 0.6391086496221708), ('colsample_bytree', 0.728422764631791), ('min_child_weight', 5)]"
44,44,0.9470415606392787,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 903), ('learning_rate', 0.035696321852534234), ('max_depth', 2), ('subsample', 0.46853980048238597), ('colsample_bytree', 0.76123480622883), ('min_child_weight', 4)]"
45,45,0.9516535329567706,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('drop', None), ('n_estimators', 795), ('learning_rate', 0.0503520426057475), ('max_depth', 3), ('subsample', 0.37832687329520737), ('colsample_bytree', 0.6378504853482421), ('min_child_weight', 3)]"
