,Trial,Score,Parameters,scaling,encoding,n_estimators,learning_rate,max_depth,subsample,colsample,min_child
28,28,0.9497673772388712,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 815), ('learning_rate', 0.035116862584129716), ('max_depth', 4), ('subsample', 0.5692168616107979), ('colsample_bytree', 0.9569364960403877), ('min_child_weight', 3)]",minmax,onehot,815,0.035116862584129716,4,0.5692168616107979,0.9569364960403877,3
29,29,0.9467301413589626,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 945), ('learning_rate', 0.07430309347929066), ('max_depth', 3), ('subsample', 0.9178749202184548), ('colsample_bytree', 0.5856967274276715), ('min_child_weight', 1)]",standard,onehot,945,0.07430309347929066,3,0.9178749202184548,0.5856967274276715,1
30,30,0.3050077951705944,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('n_estimators', 566), ('learning_rate', 0.006535250358939446), ('max_depth', 4), ('subsample', 0.7012439288212202), ('colsample_bytree', 0.7875713840239815), ('min_child_weight', 2)]",standard,onehot,566,0.006535250358939446,4,0.7012439288212202,0.7875713840239815,2
31,31,0.9494957194759485,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 855), ('learning_rate', 0.052047637330038386), ('max_depth', 4), ('subsample', 0.6980989572458793), ('colsample_bytree', 0.850054934445286), ('min_child_weight', 2)]",robust,onehot,855,0.052047637330038386,4,0.6980989572458793,0.850054934445286,2
32,32,0.94531398011157,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 913), ('learning_rate', 0.09966827220216501), ('max_depth', 4), ('subsample', 0.7512674813295948), ('colsample_bytree', 0.9490914478160576), ('min_child_weight', 2)]",robust,onehot,913,0.09966827220216501,4,0.7512674813295948,0.9490914478160576,2
33,33,0.9459364356556768,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 998), ('learning_rate', 0.061550537902454475), ('max_depth', 4), ('subsample', 0.8442331423476348), ('colsample_bytree', 0.9694000363664655), ('min_child_weight', 3)]",robust,onehot,998,0.061550537902454475,4,0.8442331423476348,0.9694000363664655,3
34,34,-3.0009097778222804,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('n_estimators', 774), ('learning_rate', 0.002949037830364295), ('max_depth', 2), ('subsample', 0.615454938919878), ('colsample_bytree', 0.9173279296392386), ('min_child_weight', 1)]",robust,onehot,774,0.002949037830364295,2,0.615454938919878,0.9173279296392386,1
35,35,0.9483108312539194,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('n_estimators', 880), ('learning_rate', 0.0419028745556113), ('max_depth', 4), ('subsample', 0.6740045230561178), ('colsample_bytree', 0.9079502549916143), ('min_child_weight', 2)]",robust,ordinal,880,0.0419028745556113,4,0.6740045230561178,0.9079502549916143,2
36,36,0.9504125450923647,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 731), ('learning_rate', 0.07857731609881921), ('max_depth', 3), ('subsample', 0.8040320416055138), ('colsample_bytree', 0.641248181334752), ('min_child_weight', 3)]",minmax,onehot,731,0.07857731609881921,3,0.8040320416055138,0.641248181334752,3
37,37,0.9487441867233891,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 499), ('learning_rate', 0.07601211500185139), ('max_depth', 3), ('subsample', 0.7978517548429496), ('colsample_bytree', 0.6326539401462082), ('min_child_weight', 5)]",minmax,onehot,499,0.07601211500185139,3,0.7978517548429496,0.6326539401462082,5
38,38,0.9434333230824032,"[('scaling_method', 'minmax'), ('encoding_method', 'ordinal'), ('n_estimators', 740), ('learning_rate', 0.03217839394064385), ('max_depth', 2), ('subsample', 0.49581995546399427), ('colsample_bytree', 0.661324646879935), ('min_child_weight', 4)]",minmax,ordinal,740,0.03217839394064385,2,0.49581995546399427,0.661324646879935,4
39,39,0.9499909112058671,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 625), ('learning_rate', 0.0741707780018405), ('max_depth', 3), ('subsample', 0.8775206205880691), ('colsample_bytree', 0.5340704628119705), ('min_child_weight', 3)]",minmax,onehot,625,0.0741707780018405,3,0.8775206205880691,0.5340704628119705,3
40,40,0.9470592410830797,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 691), ('learning_rate', 0.05806702918993156), ('max_depth', 3), ('subsample', 0.9436398996060815), ('colsample_bytree', 0.7302073675187413), ('min_child_weight', 4)]",minmax,onehot,691,0.05806702918993156,3,0.9436398996060815,0.7302073675187413,4
41,41,0.9501700666433353,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 611), ('learning_rate', 0.08252987989374755), ('max_depth', 3), ('subsample', 0.867949259274184), ('colsample_bytree', 0.5308456950776465), ('min_child_weight', 3)]",minmax,onehot,611,0.08252987989374755,3,0.867949259274184,0.5308456950776465,3
42,42,0.9511164652043157,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 596), ('learning_rate', 0.08138555841558846), ('max_depth', 3), ('subsample', 0.8245824883024293), ('colsample_bytree', 0.5384897603642067), ('min_child_weight', 3)]",minmax,onehot,596,0.08138555841558846,3,0.8245824883024293,0.5384897603642067,3
43,43,0.945207026988831,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('n_estimators', 316), ('learning_rate', 0.066046492357968), ('max_depth', 3), ('subsample', 0.8023963431037568), ('colsample_bytree', 0.5867778919173117), ('min_child_weight', 3)]",minmax,onehot,316,0.066046492357968,3,0.8023963431037568,0.5867778919173117,3
44,44,0.9505678572227855,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('n_estimators', 782), ('learning_rate', 0.0411915889316129), ('max_depth', 3), ('subsample', 0.7613815869286015), ('colsample_bytree', 0.5467299473037073), ('min_child_weight', 3)]",maxabs,onehot,782,0.0411915889316129,3,0.7613815869286015,0.5467299473037073,3
45,45,0.9456508223875938,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('n_estimators', 779), ('learning_rate', 0.04676198633847501), ('max_depth', 3), ('subsample', 0.11544329788064273), ('colsample_bytree', 0.5558648800344138), ('min_child_weight', 3)]",maxabs,onehot,779,0.04676198633847501,3,0.11544329788064273,0.5558648800344138,3
46,46,0.9450357394572533,"[('scaling_method', 'maxabs'), ('encoding_method', 'ordinal'), ('n_estimators', 745), ('learning_rate', 0.03066823152909461), ('max_depth', 3), ('subsample', 0.21249589472646702), ('colsample_bytree', 0.6091602628362762), ('min_child_weight', 3)]",maxabs,ordinal,745,0.03066823152909461,3,0.21249589472646702,0.6091602628362762,3
47,47,0.9429021235505443,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('n_estimators', 705), ('learning_rate', 0.022616365871473868), ('max_depth', 3), ('subsample', 0.7660054706217403), ('colsample_bytree', 0.5344948310608828), ('min_child_weight', 4)]",maxabs,onehot,705,0.022616365871473868,3,0.7660054706217403,0.5344948310608828,4
48,48,0.9398228928626252,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('n_estimators', 797), ('learning_rate', 0.01417003004843158), ('max_depth', 3), ('subsample', 0.5884022573923855), ('colsample_bytree', 0.577867706117479), ('min_child_weight', 3)]",maxabs,onehot,797,0.01417003004843158,3,0.5884022573923855,0.577867706117479,3
