,Trial,Score,Parameters
83,83,0.9500019587152556,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 17.010221528636052)]"
84,84,0.9499389950256274,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 32.68339115367206)]"
85,85,0.9500151149001417,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 27.747341213455652)]"
86,86,0.9500483409122957,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.27272977380415)]"
87,87,0.9133672138151071,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 39.51993975780576)]"
88,88,0.9339136121378596,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 13.654179049821114)]"
89,89,0.9500481690557825,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.772886987531024)]"
90,90,0.9500114833245126,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 17.547422870267127)]"
91,91,0.9500483569662063,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.342408189638363)]"
92,92,0.950048359547481,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.367631760515646)]"
93,93,0.9500271414329342,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 26.6090534988727)]"
94,94,0.9500337968564482,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 19.25669634230053)]"
95,95,0.9499742176986453,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 15.749014465617197)]"
96,96,0.9496063991219333,"[('scaling_method', 'standard'), ('encoding_method', 'onehot'), ('alpha', 31.254595636316598)]"
97,97,0.9500478161615769,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 23.036057002614204)]"
98,98,0.9418912725788161,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 26.114104308229283)]"
99,99,0.9500470285095363,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 23.404268633703122)]"
100,100,0.9500290089204662,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 18.805071207625062)]"
101,101,0.9500483039935258,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.188635383676836)]"
102,102,0.9500483603008565,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.40243262821338)]"
103,103,0.9499979126089668,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 29.099248557189473)]"
104,104,0.9500376497558285,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 25.33858741381113)]"
105,105,0.9498671449163414,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 36.13097067417571)]"
106,106,0.950012736306227,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 17.623935811829647)]"
107,107,0.9500483583813303,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.432076932325483)]"
108,108,0.9362900579514374,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 14.959271989705373)]"
109,109,0.9500380440003781,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 19.732529025699257)]"
110,110,0.9485573306684293,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 2.8255857816693273)]"
111,111,0.9500483598474784,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.3724801415504)]"
112,112,0.9500483101641312,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.20010576617502)]"
113,113,0.9500473344547917,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 21.52988777381472)]"
114,114,0.9500379967404925,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 25.288530329818048)]"
115,115,0.9499655892279126,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 31.197292759645322)]"
116,116,0.9498492186638853,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 12.281111655611522)]"
117,117,0.9313861645259979,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 17.13258255088225)]"
118,118,0.941486863550768,"[('scaling_method', 'standard'), ('encoding_method', 'ordinal'), ('alpha', 20.122604341005328)]"
119,119,0.9497707881258514,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 40.05932175108275)]"
120,120,0.9497616573744457,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 10.719508610566484)]"
121,121,0.9500482177021204,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.720829634316395)]"
122,122,0.9500110057926474,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 28.093119710231772)]"
123,123,0.9500482083921471,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.731403030520905)]"
124,124,0.9500240855061488,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 18.402103858633357)]"
125,125,0.9500433028205961,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 24.391118658436625)]"
126,126,0.9476498205918414,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 1.0568030083954354)]"
127,127,0.9499774246557173,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 15.878010028285631)]"
128,128,0.950046073885672,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 21.1126913335291)]"
129,129,0.9499066143065586,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 34.31654727999314)]"
130,130,0.950037357739587,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 25.380139441061377)]"
131,131,0.9500483259257674,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.553817661126118)]"
132,132,0.9500483602313903,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.381305834005566)]"
133,133,0.9500377909262963,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 19.701462224580297)]"
134,134,0.9500135596066173,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 27.88026695612887)]"
135,135,0.9494133501437438,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 6.91434363561277)]"
136,136,0.9500479416646215,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 21.839018649848878)]"
137,137,0.9343786205292937,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 17.54961652250165)]"
138,138,0.9499704805726624,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 30.904573506913888)]"
139,139,0.9417080073234667,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 14.327092913261023)]"
140,140,0.9249516088458961,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 24.715614137091904)]"
141,141,0.9500483141744231,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.207944460811362)]"
142,142,0.9500418132875594,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 20.255561800810973)]"
143,143,0.9500483441261028,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 22.283074584103677)]"
144,144,0.9500266998161994,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 26.655247088721474)]"
145,145,0.950047253635604,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 21.496984215231638)]"
146,146,0.9500281430429313,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 18.730334598816818)]"
147,147,0.9499975766737496,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 16.78510754890285)]"
