,Trial,Score,Parameters
53,53,0.9451518125715406,"[('scaling_method', 'standard'), ('n_estimators', 684), ('learning_rate', 0.023922287171592217), ('max_depth', 3), ('subsample', 0.9361692598866286), ('min_sample_split', 7), ('min_sample_leaf', 8)]"
54,54,0.9456628213620554,"[('scaling_method', 'standard'), ('n_estimators', 629), ('learning_rate', 0.06545689560597572), ('max_depth', 3), ('subsample', 0.7889555795685808), ('min_sample_split', 6), ('min_sample_leaf', 1)]"
55,55,0.9433216292517372,"[('scaling_method', 'standard'), ('n_estimators', 593), ('learning_rate', 0.016109087254728826), ('max_depth', 4), ('subsample', 0.8205667017950914), ('min_sample_split', 7), ('min_sample_leaf', 9)]"
56,56,0.9493305936281142,"[('scaling_method', 'standard'), ('n_estimators', 723), ('learning_rate', 0.04373070916090385), ('max_depth', 3), ('subsample', 0.6355598599750717), ('min_sample_split', 7), ('min_sample_leaf', 7)]"
57,57,0.9400888341383118,"[('scaling_method', 'standard'), ('n_estimators', 714), ('learning_rate', 0.1918474107565895), ('max_depth', 2), ('subsample', 0.5298246049263603), ('min_sample_split', 8), ('min_sample_leaf', 5)]"
58,58,0.9486117782414392,"[('scaling_method', 'standard'), ('n_estimators', 994), ('learning_rate', 0.08355857969010458), ('max_depth', 3), ('subsample', 0.6699990867929697), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
59,59,0.9410351263085002,"[('scaling_method', 'standard'), ('n_estimators', 959), ('learning_rate', 0.0788323959547607), ('max_depth', 6), ('subsample', 0.7301312026548483), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
60,60,0.9061088783624813,"[('scaling_method', 'standard'), ('n_estimators', 723), ('learning_rate', 0.37678484450412897), ('max_depth', 4), ('subsample', 0.5818229183902232), ('min_sample_split', 6), ('min_sample_leaf', 4)]"
61,61,0.9519824147293688,"[('scaling_method', 'standard'), ('n_estimators', 900), ('learning_rate', 0.042954197581999996), ('max_depth', 3), ('subsample', 0.6708540083239732), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
62,62,0.9504897504656658,"[('scaling_method', 'standard'), ('n_estimators', 921), ('learning_rate', 0.04651747870171764), ('max_depth', 3), ('subsample', 0.7024352760703909), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
63,63,0.9474710614241626,"[('scaling_method', 'standard'), ('n_estimators', 899), ('learning_rate', 0.09816992467238048), ('max_depth', 3), ('subsample', 0.6328193669844939), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
64,64,0.9508828372309293,"[('scaling_method', 'standard'), ('n_estimators', 993), ('learning_rate', 0.05618014921197392), ('max_depth', 3), ('subsample', 0.6921071738869197), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
65,65,0.9512371331639503,"[('scaling_method', 'standard'), ('n_estimators', 958), ('learning_rate', 0.05999463882280529), ('max_depth', 3), ('subsample', 0.7023606082460612), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
66,66,0.949812829238172,"[('scaling_method', 'maxabs'), ('n_estimators', 1000), ('learning_rate', 0.04932773952526623), ('max_depth', 3), ('subsample', 0.7019516876035558), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
67,67,0.9452528510036794,"[('scaling_method', 'maxabs'), ('n_estimators', 956), ('learning_rate', 0.048741823630847975), ('max_depth', 4), ('subsample', 0.6959448202874065), ('min_sample_split', 8), ('min_sample_leaf', 3)]"
68,68,0.9479542398476117,"[('scaling_method', 'maxabs'), ('n_estimators', 914), ('learning_rate', 0.06297955489527825), ('max_depth', 2), ('subsample', 0.6164779823871653), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
69,69,0.9446849648483729,"[('scaling_method', 'maxabs'), ('n_estimators', 868), ('learning_rate', 0.14132973918823838), ('max_depth', 3), ('subsample', 0.7021582949120859), ('min_sample_split', 7), ('min_sample_leaf', 3)]"
70,70,0.9476537387615087,"[('scaling_method', 'maxabs'), ('n_estimators', 949), ('learning_rate', 0.02373381374478335), ('max_depth', 3), ('subsample', 0.7507139377299036), ('min_sample_split', 7), ('min_sample_leaf', 4)]"
71,71,0.9512063487125404,"[('scaling_method', 'minmax'), ('n_estimators', 998), ('learning_rate', 0.04427575461902809), ('max_depth', 3), ('subsample', 0.677638726064847), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
72,72,0.9498329851302174,"[('scaling_method', 'minmax'), ('n_estimators', 999), ('learning_rate', 0.04392305294744128), ('max_depth', 3), ('subsample', 0.7101301369503988), ('min_sample_split', 7), ('min_sample_leaf', 1)]"
73,73,0.9499559592056874,"[('scaling_method', 'minmax'), ('n_estimators', 979), ('learning_rate', 0.043710084560053576), ('max_depth', 3), ('subsample', 0.6851120895146127), ('min_sample_split', 7), ('min_sample_leaf', 1)]"
74,74,0.9428150781899847,"[('scaling_method', 'minmax'), ('n_estimators', 975), ('learning_rate', 0.011951258659180841), ('max_depth', 3), ('subsample', 0.7089377665750276), ('min_sample_split', 7), ('min_sample_leaf', 1)]"
75,75,0.9487859816674998,"[('scaling_method', 'minmax'), ('n_estimators', 940), ('learning_rate', 0.020752326098108446), ('max_depth', 3), ('subsample', 0.6825830610756451), ('min_sample_split', 7), ('min_sample_leaf', 1)]"
76,76,0.950239383137119,"[('scaling_method', 'minmax'), ('n_estimators', 998), ('learning_rate', 0.03171869114933846), ('max_depth', 3), ('subsample', 0.7217466780871166), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
77,77,0.9482938507896718,"[('scaling_method', 'minmax'), ('n_estimators', 974), ('learning_rate', 0.0301527170697918), ('max_depth', 3), ('subsample', 0.7225652521396553), ('min_sample_split', 7), ('min_sample_leaf', 2)]"
