,Trial,Score,Parameters
60,60,0.9470286993273666,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 3.1199969129480575e-05), ('l1_ratio', 0.2704411905665425)]"
61,61,0.950793263384004,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0008560979274992533), ('l1_ratio', 0.4108287614592402)]"
62,62,0.9507449855537147,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0009774510652318675), ('l1_ratio', 0.3893035519383537)]"
63,63,0.9507992041209059,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0007999249761073252), ('l1_ratio', 0.340762296231591)]"
64,64,0.9506838238834046,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0006917957418505408), ('l1_ratio', 0.3409816033591115)]"
65,65,0.9504699798919839,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.000511055772347802), ('l1_ratio', 0.3566695956378747)]"
66,66,0.9507397345381031,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0007763710040516301), ('l1_ratio', 0.32100731645154074)]"
67,67,0.9478841203793454,"[('scaling_method', 'maxabs'), ('encoding_method', 'onehot'), ('alpha', 0.0006387122267350241), ('l1_ratio', 0.37362191953758844)]"
68,68,0.9507539963649598,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0005321287054507453), ('l1_ratio', 0.4825610922296646)]"
69,69,0.9506383394416821,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.000999572040051972), ('l1_ratio', 0.4307832052443269)]"
70,70,0.9507658450527507,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.000766960365109231), ('l1_ratio', 0.33615555061607605)]"
71,71,0.9508044610415645,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0008588578481223591), ('l1_ratio', 0.3974054833193112)]"
72,72,0.9507942506208359,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0006883977303554632), ('l1_ratio', 0.3931503692778716)]"
73,73,0.9506975777188428,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0008727763525994874), ('l1_ratio', 0.46796352774741506)]"
74,74,0.9502852993705799,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.00045954885237784956), ('l1_ratio', 0.3109310981623177)]"
75,75,0.9506669643631798,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0006319635986309419), ('l1_ratio', 0.3682954705114781)]"
76,76,0.9417900519237893,"[('scaling_method', 'robust'), ('encoding_method', 'ordinal'), ('alpha', 0.0007905893815922066), ('l1_ratio', 0.4283298429241765)]"
77,77,0.9502716639556954,"[('scaling_method', 'robust'), ('encoding_method', 'onehot'), ('alpha', 0.0005641808392977214), ('l1_ratio', 0.23979491992955695)]"
78,78,0.9502422890645267,"[('scaling_method', 'minmax'), ('encoding_method', 'onehot'), ('alpha', 0.00033843090266720804), ('l1_ratio', 0.38745737965505767)]"
